2021-12-11 22:12:139 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymax]
2021-12-11 22:12:386 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymin]
2021-12-11 22:12:495 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymin]
2021-12-11 22:12:763 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: hp-search-btn]
2021-12-11 22:12:75 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:809 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: keywords]
2021-12-11 22:12:37 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: location]
2021-12-11 22:12:224 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: location]
2021-12-11 22:12:508 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: toggle-hp-search]
2021-12-11 22:12:920 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: salarymax]
2021-12-11 22:12:08 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: salarymax]
2021-12-11 22:12:245 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: salarymin]
2021-12-11 22:12:417 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: salarymin]
2021-12-11 22:12:643 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: hp-search-btn]
2021-12-11 22:12:446 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:787 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: keywords]
2021-12-11 22:12:308 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: location]
2021-12-11 22:12:450 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: location]
2021-12-11 22:12:815 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: toggle-hp-search]
2021-12-11 22:12:128 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: salarymax]
2021-12-11 22:12:282 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: salarymax]
2021-12-11 22:12:547 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: salarymin]
